transaction,date,item_code,item,quantity,unit,payment_type,price,income
14183/KSR/UTM/0124,01/04/2024 12:37:55,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,562.0,Sheet,Upfront Payment,"250,00",140500.0
14193/KSR/UTM/0124,01/04/2024 13:24:31,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,50.0,Sheet,Upfront Payment,"250,00",12500.0
14203/KSR/UTM/0124,01/04/2024 14:18:19,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,32.0,Sheet,Upfront Payment,"250,00",8000.0
5008/JL/UTM/0124,01/04/2024 14:30:43,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,169.0,Sheet,Deposit Payment,"300,00",50700.0
14209/KSR/UTM/0124,01/04/2024 14:56:02,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,500.0,Sheet,Upfront Payment,"250,00",125000.0
5013/JL/UTM/0124,01/04/2024 15:26:09,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,114.0,Sheet,Deposit Payment,"300,00",34200.0
14229/KSR/UTM/0124,01/04/2024 17:00:15,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,66.0,Sheet,Upfront Payment,"250,00",16500.0
14237/KSR/UTM/0124,01/05/2024 09:20:12,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,24.0,Sheet,Upfront Payment,"250,00",6000.0
14242/KSR/UTM/0124,01/05/2024 10:06:43,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,11.0,Sheet,Upfront Payment,"250,00",2750.0
5023/JL/UTM/0124,01/05/2024 10:38:38,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,306.0,Sheet,Deposit Payment,"300,00",91800.0
5024/JL/UTM/0124,01/05/2024 11:50:24,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,656.0,Sheet,Deposit Payment,"300,00",196800.0
5025/JL/UTM/0124,01/05/2024 11:52:20,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,1534.0,Sheet,Deposit Payment,"300,00",460200.0
5027/JL/UTM/0124,01/05/2024 12:30:54,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,113.0,Sheet,Deposit Payment,"300,00",33900.0
14264/KSR/UTM/0124,01/05/2024 12:36:41,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,56.0,Sheet,Upfront Payment,"250,00",14000.0
14282/KSR/UTM/0124,01/05/2024 14:34:54,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,6.0,Sheet,Upfront Payment,"250,00",1500.0
14287/KSR/UTM/0124,01/05/2024 15:16:03,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,10.0,Sheet,Upfront Payment,"250,00",2500.0
14289/KSR/UTM/0124,01/05/2024 15:28:08,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,361.0,Sheet,Upfront Payment,"250,00",90250.0
14297/KSR/UTM/0124,01/05/2024 15:57:29,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,255.0,Sheet,Upfront Payment,"500,00",127500.0
14309/KSR/UTM/0124,01/05/2024 17:04:39,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,454.0,Sheet,Upfront Payment,"250,00",113500.0
14310/KSR/UTM/0124,01/05/2024 17:12:27,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,11.0,Sheet,Upfront Payment,"250,00",2750.0
14313/KSR/UTM/0124,01/05/2024 17:27:24,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,115.0,Sheet,Upfront Payment,"250,00",28750.0
14314/KSR/UTM/0124,01/05/2024 17:31:21,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,1200.0,Sheet,Upfront Payment,"250,00",300000.0
14318/KSR/UTM/0124,01/06/2024 09:10:07,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,10.0,Sheet,Upfront Payment,"250,00",2500.0
14322/KSR/UTM/0124,01/06/2024 09:50:56,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,1.0,Sheet,Upfront Payment,"5000,00",5000.0
14325/KSR/UTM/0124,01/06/2024 10:21:21,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,258.0,Sheet,Upfront Payment,"250,00",64500.0
14335/KSR/UTM/0124,01/06/2024 11:31:40,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,98.0,Sheet,Upfront Payment,"250,00",24500.0
14342/KSR/UTM/0124,01/06/2024 12:32:10,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,102.0,Sheet,Upfront Payment,"250,00",25500.0
14347/KSR/UTM/0124,01/06/2024 13:05:03,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,24.0,Sheet,Upfront Payment,"250,00",6000.0
14348/KSR/UTM/0124,01/06/2024 13:17:18,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,271.0,Sheet,Upfront Payment,"250,00",67750.0
14356/KSR/UTM/0124,01/06/2024 15:29:59,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,300.0,Sheet,Upfront Payment,"250,00",75000.0
14368/KSR/UTM/0124,01/06/2024 17:17:09,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,20.0,Sheet,Upfront Payment,"250,00",5000.0
14369/KSR/UTM/0124,01/06/2024 17:17:51,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,10.0,Sheet,Upfront Payment,"250,00",2500.0
14372/KSR/UTM/0124,01/06/2024 17:45:15,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,20.0,Sheet,Upfront Payment,"250,00",5000.0
14376/KSR/UTM/0124,01/08/2024 09:54:10,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,91.0,Sheet,Upfront Payment,"250,00",22750.0
5042/JL/UTM/0124,01/08/2024 10:05:40,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,261.0,Sheet,Deposit Payment,"250,00",65250.0
14384/KSR/UTM/0124,01/08/2024 10:17:20,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,20.0,Sheet,Upfront Payment,"250,00",5000.0
14385/KSR/UTM/0124,01/08/2024 10:25:26,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,72.0,Sheet,Upfront Payment,"250,00",18000.0
14387/KSR/UTM/0124,01/08/2024 10:33:34,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,52.0,Sheet,Upfront Payment,"250,00",13000.0
14388/KSR/UTM/0124,01/08/2024 10:34:05,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,2.0,Sheet,Upfront Payment,"250,00",500.0
14391/KSR/UTM/0124,01/08/2024 10:39:53,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,125.0,Sheet,Upfront Payment,"250,00",31250.0
14392/KSR/UTM/0124,01/08/2024 10:42:44,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,3.0,Sheet,Upfront Payment,"250,00",750.0
14402/KSR/UTM/0124,01/08/2024 11:46:13,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,8.0,Sheet,Upfront Payment,"250,00",2000.0
14404/KSR/UTM/0124,01/08/2024 11:50:28,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,1340.0,Sheet,Upfront Payment,"250,00",335000.0
14409/KSR/UTM/0124,01/08/2024 12:29:52,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,90.0,Sheet,Upfront Payment,"250,00",22500.0
5058/JL/UTM/0124,01/08/2024 14:52:07,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,256.0,Sheet,Deposit Payment,"300,00",76800.0
14441/KSR/UTM/0124,01/08/2024 16:06:49,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,46.0,Sheet,Upfront Payment,"250,00",11500.0
5064/JL/UTM/0124,01/08/2024 17:07:31,PC.000008,PHOTO COPY CARDBOARD A3,15.0,Sheet,Deposit Payment,"3500,00",52500.0
5067/JL/UTM/0124,01/09/2024 08:55:23,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,310.0,Sheet,Deposit Payment,"300,00",93000.0
14460/KSR/UTM/0124,01/09/2024 09:03:46,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,40.0,Sheet,Upfront Payment,"250,00",10000.0
14467/KSR/UTM/0124,01/09/2024 09:40:28,PC.000002,PHOTO COPY HVS A3 70 GR,20.0,Sheet,Upfront Payment,"600,00",12000.0
14467/KSR/UTM/0124,01/09/2024 09:40:28,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,6.0,Sheet,Upfront Payment,"250,00",1500.0
5075/JL/UTM/0124,01/09/2024 12:02:51,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,300.0,Sheet,Deposit Payment,"250,00",75000.0
5077/JL/UTM/0124,01/09/2024 12:37:07,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,99.0,Sheet,Deposit Payment,"300,00",29700.0
14502/KSR/UTM/0124,01/09/2024 14:24:40,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,12.0,Sheet,Upfront Payment,"250,00",3000.0
14515/KSR/UTM/0124,01/09/2024 15:28:49,PC.000002,PHOTO COPY HVS A3 70 GR,10.0,Sheet,Upfront Payment,"600,00",6000.0
14523/KSR/UTM/0124,01/09/2024 16:32:07,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,112.0,Sheet,Upfront Payment,"250,00",28000.0
14524/KSR/UTM/0124,01/09/2024 16:55:19,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,80.0,Sheet,Upfront Payment,"250,00",20000.0
14529/KSR/UTM/0124,01/09/2024 17:17:35,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,240.0,Sheet,Upfront Payment,"250,00",60000.0
14537/KSR/UTM/0124,01/10/2024 08:47:12,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,4.0,Sheet,Upfront Payment,"250,00",1000.0
14560/KSR/UTM/0124,01/10/2024 11:31:06,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,6.0,Sheet,Upfront Payment,"250,00",1500.0
14567/KSR/UTM/0124,01/10/2024 12:03:38,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,187.0,Sheet,Upfront Payment,"250,00",46750.0
14568/KSR/UTM/0124,01/10/2024 12:06:32,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,209.0,Sheet,Upfront Payment,"250,00",52250.0
14569/KSR/UTM/0124,01/10/2024 12:07:10,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,209.0,Sheet,Upfront Payment,"250,00",52250.0
14572/KSR/UTM/0124,01/10/2024 12:25:26,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,266.0,Sheet,Upfront Payment,"250,00",66500.0
14590/KSR/UTM/0124,01/10/2024 14:36:07,PC.000002,PHOTO COPY HVS A3 70 GR,6.0,Sheet,Upfront Payment,"1000,00",6000.0
14591/KSR/UTM/0124,01/10/2024 14:48:53,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,21.0,Sheet,Upfront Payment,"250,00",5250.0
5107/JL/UTM/0124,01/10/2024 14:54:47,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,170.0,Sheet,Deposit Payment,"300,00",51000.0
14598/KSR/UTM/0124,01/10/2024 15:23:03,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,7.0,Sheet,Upfront Payment,"250,00",1750.0
14601/KSR/UTM/0124,01/10/2024 15:44:17,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,130.0,Sheet,Upfront Payment,"250,00",32500.0
14602/KSR/UTM/0124,01/10/2024 15:47:26,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,50.0,Sheet,Upfront Payment,"250,00",12500.0
14604/KSR/UTM/0124,01/10/2024 15:50:35,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,60.0,Sheet,Upfront Payment,"250,00",15000.0
14605/KSR/UTM/0124,01/10/2024 16:04:11,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,216.0,Sheet,Upfront Payment,"250,00",54000.0
14610/KSR/UTM/0124,01/10/2024 16:29:42,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,6.0,Sheet,Upfront Payment,"250,00",1500.0
5112/JL/UTM/0124,01/10/2024 16:30:48,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,504.0,Sheet,Deposit Payment,"300,00",151200.0
14620/KSR/UTM/0124,01/10/2024 17:35:17,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,15.0,Sheet,Upfront Payment,"250,00",3750.0
14626/KSR/UTM/0124,01/11/2024 08:52:13,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,4.0,Sheet,Upfront Payment,"250,00",1000.0
14631/KSR/UTM/0124,01/11/2024 09:22:39,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,15.0,Sheet,Upfront Payment,"250,00",3750.0
14650/KSR/UTM/0124,01/11/2024 10:45:41,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,16.0,Sheet,Upfront Payment,"250,00",4000.0
14651/KSR/UTM/0124,01/11/2024 10:47:49,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,592.0,Sheet,Upfront Payment,"250,00",148000.0
14655/KSR/UTM/0124,01/11/2024 11:23:47,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,4.0,Sheet,Upfront Payment,"250,00",1000.0
5123/JL/UTM/0124,01/11/2024 11:29:48,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,455.0,Sheet,Deposit Payment,"250,00",113750.0
14658/KSR/UTM/0124,01/11/2024 11:39:17,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,16.0,Sheet,Upfront Payment,"250,00",4000.0
14659/KSR/UTM/0124,01/11/2024 11:40:17,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,16.0,Sheet,Upfront Payment,"250,00",4000.0
14660/KSR/UTM/0124,01/11/2024 11:43:53,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,190.0,Sheet,Upfront Payment,"250,00",47500.0
5126/JL/UTM/0124,01/11/2024 12:20:32,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,162.0,Sheet,Deposit Payment,"250,00",40500.0
14675/KSR/UTM/0124,01/11/2024 13:09:41,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,7.0,Sheet,Upfront Payment,"250,00",1750.0
5130/JL/UTM/0124,01/11/2024 13:41:31,PC.000002,PHOTO COPY HVS A3 70 GR,50.0,Sheet,Deposit Payment,"750,00",37500.0
14683/KSR/UTM/0124,01/11/2024 13:55:33,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,27.0,Sheet,Upfront Payment,"250,00",6750.0
14684/KSR/UTM/0124,01/11/2024 13:56:12,PC.000002,PHOTO COPY HVS A3 70 GR,25.0,Sheet,Upfront Payment,"1000,00",25000.0
14685/KSR/UTM/0124,01/11/2024 14:16:17,PC.000007,PHOTO COPY CARDBOARD F4,20.0,Sheet,Upfront Payment,"3000,00",60000.0
14687/KSR/UTM/0124,01/11/2024 14:25:25,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,16.0,Sheet,Upfront Payment,"250,00",4000.0
14701/KSR/UTM/0124,01/11/2024 15:07:19,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,1470.0,Sheet,Upfront Payment,"250,00",367500.0
5144/JL/UTM/0124,01/11/2024 16:20:46,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,514.0,Sheet,Deposit Payment,"300,00",154200.0
14719/KSR/UTM/0124,01/11/2024 17:11:51,PC.000007,PHOTO COPY CARDBOARD F4,50.0,Sheet,Upfront Payment,"3000,00",150000.0
14721/KSR/UTM/0124,01/11/2024 17:32:01,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,600.0,Sheet,Upfront Payment,"250,00",150000.0
14728/KSR/UTM/0124,01/12/2024 09:32:06,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,9.0,Sheet,Upfront Payment,"250,00",2250.0
14728/KSR/UTM/0124,01/12/2024 09:32:06,PC.000002,PHOTO COPY HVS A3 70 GR,103.0,Sheet,Upfront Payment,"600,00",61800.0
14730/KSR/UTM/0124,01/12/2024 09:48:04,PC.000007,PHOTO COPY CARDBOARD F4,20.0,Sheet,Upfront Payment,"1500,00",30000.0
14736/KSR/UTM/0124,01/12/2024 10:40:27,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,200.0,Sheet,Upfront Payment,"250,00",50000.0
5152/JL/UTM/0124,01/12/2024 11:06:49,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,240.0,Sheet,Deposit Payment,"300,00",72000.0
5154/JL/UTM/0124,01/12/2024 11:34:28,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,1403.0,Sheet,Deposit Payment,"300,00",420900.0
14743/KSR/UTM/0124,01/12/2024 11:45:41,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,16.0,Sheet,Upfront Payment,"250,00",4000.0
14744/KSR/UTM/0124,01/12/2024 11:46:36,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,99.0,Sheet,Upfront Payment,"250,00",24750.0
5161/JL/UTM/0124,01/12/2024 12:26:03,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,30660.0,Sheet,Deposit Payment,"250,00",7665000.0
5161/JL/UTM/0124,01/12/2024 12:26:03,PC.000006,PHOTO COPY COLORED HVS F4/A4S 70 GR,525.0,Sheet,Deposit Payment,"400,00",210000.0
5161/JL/UTM/0124,01/12/2024 12:26:03,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,49350.0,Sheet,Deposit Payment,"250,00",12337500.0
5161/JL/UTM/0124,01/12/2024 12:26:03,PC.000006,PHOTO COPY COLORED HVS F4/A4S 70 GR,560.0,Sheet,Deposit Payment,"400,00",224000.0
14753/KSR/UTM/0124,01/12/2024 13:59:57,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,200.0,Sheet,Upfront Payment,"250,00",50000.0
14773/KSR/UTM/0124,01/12/2024 16:16:48,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,507.0,Sheet,Upfront Payment,"250,00",126750.0
14784/KSR/UTM/0124,01/13/2024 09:31:07,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,60.0,Sheet,Upfront Payment,"250,00",15000.0
14788/KSR/UTM/0124,01/13/2024 10:24:56,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,700.0,Sheet,Upfront Payment,"250,00",175000.0
14805/KSR/UTM/0124,01/13/2024 13:29:56,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,972.0,Sheet,Upfront Payment,"250,00",243000.0
14810/KSR/UTM/0124,01/13/2024 14:37:47,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,64.0,Sheet,Upfront Payment,"250,00",16000.0
14812/KSR/UTM/0124,01/13/2024 15:24:23,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,3138.0,Sheet,Upfront Payment,"250,00",784500.0
14812/KSR/UTM/0124,01/13/2024 15:24:23,PC.000006,PHOTO COPY COLORED HVS F4/A4S 70 GR,27.0,Sheet,Upfront Payment,"350,00",9450.0
14822/KSR/UTM/0124,01/13/2024 16:44:11,PC.000002,PHOTO COPY HVS A3 70 GR,85.0,Sheet,Upfront Payment,"600,00",51000.0
14825/KSR/UTM/0124,01/13/2024 17:05:31,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,27.0,Sheet,Upfront Payment,"250,00",6750.0
14827/KSR/UTM/0124,01/13/2024 17:08:13,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,14.0,Sheet,Upfront Payment,"250,00",3500.0
5186/JL/UTM/0124,01/13/2024 17:16:48,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,4185.0,Sheet,Deposit Payment,"300,00",1255500.0
14830/KSR/UTM/0124,01/13/2024 17:17:18,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,300.0,Sheet,Upfront Payment,"350,00",105000.0
14836/KSR/UTM/0124,01/15/2024 09:42:00,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,20.0,Sheet,Upfront Payment,"250,00",5000.0
14843/KSR/UTM/0124,01/15/2024 10:30:59,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,120.0,Sheet,Upfront Payment,"250,00",30000.0
5189/JL/UTM/0124,01/15/2024 10:35:45,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,143.0,Sheet,Deposit Payment,"300,00",42900.0
14844/KSR/UTM/0124,01/15/2024 10:35:46,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,90.0,Sheet,Upfront Payment,"250,00",22500.0
5195/JL/UTM/0124,01/15/2024 11:15:26,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,2916.0,Sheet,Deposit Payment,"250,00",729000.0
14851/KSR/UTM/0124,01/15/2024 11:25:28,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,35.0,Sheet,Upfront Payment,"250,00",8750.0
5197/JL/UTM/0124,01/15/2024 11:38:12,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,1024.0,Sheet,Deposit Payment,"300,00",307200.0
5199/JL/UTM/0124,01/15/2024 11:42:27,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,2400.0,Sheet,Deposit Payment,"300,00",720000.0
14860/KSR/UTM/0124,01/15/2024 12:53:50,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,14.0,Sheet,Upfront Payment,"250,00",3500.0
14862/KSR/UTM/0124,01/15/2024 13:07:42,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,722.0,Sheet,Upfront Payment,"250,00",180500.0
5206/JL/UTM/0124,01/15/2024 13:53:27,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,51.0,Sheet,Deposit Payment,"300,00",15300.0
14865/KSR/UTM/0124,01/15/2024 14:02:07,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,87.0,Sheet,Upfront Payment,"250,00",21750.0
14880/KSR/UTM/0124,01/15/2024 15:02:01,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,655.0,Sheet,Upfront Payment,"250,00",163750.0
14883/KSR/UTM/0124,01/15/2024 15:06:25,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,196.0,Sheet,Upfront Payment,"250,00",49000.0
14894/KSR/UTM/0124,01/15/2024 17:04:16,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,1.0,Sheet,Upfront Payment,"30000,00",30000.0
5220/JL/UTM/0124,01/15/2024 17:05:51,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,26.0,Sheet,Deposit Payment,"300,00",7800.0
